	Unnamed: 0	pair ID	Labels	Argument 1	Argument 2
76	76	13260_13259	o7	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	"Nobody has the right to tell you what to do with your body, but if that which you are trying to rid off moves away at the first sign of pain, without you feeling it, then ""that"" is no longer yours, since it feels outside your own."
77	77	54558_13277	o6	No matter what circumstance a woman is in SHE got herself pregnant! When rape occurs why is it the poor, defenceless baby who gets no choice and dies? The baby is innocent, yes it wasnt the mothers fault but why is she more important than a child? <br/> Women have become selfish where there bodies are concerned. They believe they have the right to get pregnant and then get rid of the baby because they feel like it and made a mistake. These are childrens lives we are talking about	the one whom bestows life, is the one whom bestows death
78	78	13275_13300	o7	The government has no place to tell a woman what she can do with her own body, ever. <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different.	I'm pro-life based on one major fact.... abortion being used the way it is today.. like a last minute form of birth control. If your too stupid to wear protection, get on the pill, just give the baby up, there are thousands of people who can't have children who'd love to have it.
81	81	30319_13268	o6	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	I argue for the rights of the child, who deserves the same right to life as the mother
83	83	13270_13277	o7	If a women is raped is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well.	the one whom bestows life, is the one whom bestows death
84	84	28923_75040	o7	If someone is raped and ends up pregnant, they should have the choice to get an abortion or not. If people are being irresponsible and have unprotected sex, they should be held accountable for their actions. Have the baby and put them up for adoption. Otherwise people are going to abuse their power to chose and will be killing babies because they are too lazy or ignorant to use protection.	"My one question... <br/> Why is it we argue for the ""right"" to kill the unborn when the government is taking away our real rights?"
85	85	13268_13256	o5	I argue for the rights of the child, who deserves the same right to life as the mother	I choose life <br/> Reagan once said something like this <br/> Notice that everyone who is pro choice has been born
87	87	13276_34503	o7	we did not create the baby, we are not the ones who gave it life, why should we be the ones who put it to death, we have no authority to do such a thing.	having some choices are good. but if you were in charge of all the choices in your life, the world would be in total chaos. i have always been pro life. and yes i do believe abortions should be illegal.
88	88	33181_80248	o6	One word: Adoption <br/> There is absolutley no reason to receive an abortion when you could continue through to birth and then put the child up for adoption. <br/> This is a commonly ignored fact in the abortion debate. But I think it is by far the best choice.	I am Pro-Life, <br/> Here is a question for anyone who is Pro-Choice: Is the baby in the mother's stomach living and if not how do you know?
90	90	13258_13260	o6	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault
96	96	13275_76937	o6	The government has no place to tell a woman what she can do with her own body, ever. <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different.	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.
97	97	13267_30319	o5	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. <br/> In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.
98	98	70668_13268	o6	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	I argue for the rights of the child, who deserves the same right to life as the mother
102	102	30319_13258	o7	Statistics prove that less than 1% of women who are raped get pregnant because of the adrenalin rush. We have no right to take an unborn child's life. There are ways to avoid the situation of abortion. The woman can have the baby and give it up for adoption or raise it as their own because the woman is the still the child's biological mother. There are thousands of people on the waiting list for another baby to add to their family. DO NOT let anyone tell you otherwise because they obviously havn't been in the situation of adoption or abortion.	That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault
103	103	54474_70668	o7	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.
106	106	76937_13279	o6	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?
107	107	13280_28923	o6	If someone is raped and ends up pregnant, they should have the choice to get an abortion or not. If people are being irresponsible and have unprotected sex, they should be held accountable for their actions. Have the baby and put them up for adoption. Otherwise people are going to abuse their power to chose and will be killing babies because they are too lazy or ignorant to use protection.	i do not see any difference in killing an embroyo or a 40 year old person. Murder....is murder
114	114	13279_13260	o6	"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it. <br/> And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around."	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?
115	115	59260_13300	o7	I'm pro-life based on one major fact.... abortion being used the way it is today.. like a last minute form of birth control. If your too stupid to wear protection, get on the pill, just give the baby up, there are thousands of people who can't have children who'd love to have it.	when people condemned consensual-cannibalism in africa, did they think of these people's right to their bodies? no. why should abortion be any different?
118	118	13279_13276	o7	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?	we did not create the baby, we are not the ones who gave it life, why should we be the ones who put it to death, we have no authority to do such a thing.
119	119	1148434436_13267	o7	You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. <br/> In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.	What i dont undertsand is how people rationalize taking life it just doesnt make any sense... idc the situation in america how is killing leagal?
123	123	13258_13270	o7	If a women is raped is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well.	That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault
124	124	13267_76937	o6	You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. <br/> In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.	I choose life. Keeping the law pro-choice is allowing women to murder their own unborn human child.
126	126	80248_13277	o6	I am Pro-Life, <br/> Here is a question for anyone who is Pro-Choice: Is the baby in the mother's stomach living and if not how do you know?	the one whom bestows life, is the one whom bestows death
128	128	43483_13270	o7	If a women is raped is a good argument. However why would you punish an innocent baby with the death penalty for some other man's crime. If the women does not want the child she could give it up for adoption. I just dont understand why you would kill the baby, the emotional trauma would happen without the baby as well.	for everyone who is talking about RAPE in this subject let me ask you one thing!!!! if you got in a huge fight with someone and ended up breaking your hand or arm... would you cut it off just because it would REMIND you of that expirience??? <br/> if your actualy SANE you would say no and if you say yes you need to see a Physiatrist!!!!
131	131	13264_70668	o5	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	Don't kid yourself: the vast majority of abortions in this country are for reasons of convenience. If I was allowed to kill someone anytime they were inconvenient to me, I would be leaving a trail of bodies behind me when I walked down the street.
133	133	13300_54474	o5	A growing embryo is considered human with the heartbeats initiating as early as 21st day of conception. So what if we cannot see the human form, it does have the potential to gain one. <br/> Around 60% of abortions are performed on never married women. Why can't women give the baby up for adoption instead, even if she is raped. If your raped does that give you the right to got out and kill someone?	I'm pro-life based on one major fact.... abortion being used the way it is today.. like a last minute form of birth control. If your too stupid to wear protection, get on the pill, just give the baby up, there are thousands of people who can't have children who'd love to have it.
137	137	13267_54558	o6	No matter what circumstance a woman is in SHE got herself pregnant! When rape occurs why is it the poor, defenceless baby who gets no choice and dies? The baby is innocent, yes it wasnt the mothers fault but why is she more important than a child? <br/> Women have become selfish where there bodies are concerned. They believe they have the right to get pregnant and then get rid of the baby because they feel like it and made a mistake. These are childrens lives we are talking about	You are mixing topics thereby creating fallacy in your argument. The debate is not to determine under what circumstances may murder be morally acceptable, rather, the legal (some may say moral) foundation on which one can state that an individual has the right to terminate pregnancy. <br/> In addition, you may want to brush up on your etymology and vary your sources rather than simply paraphrasing definitions that fit your point of view.
139	139	34503_59722	o7	having some choices are good. but if you were in charge of all the choices in your life, the world would be in total chaos. i have always been pro life. and yes i do believe abortions should be illegal.	"Well ""The Champ"" It is not the Woman's body we are talking about, it is a new life. And if you are going to be irresponsible dont let a new life die for it!"
141	141	13263_34503	o7	having some choices are good. but if you were in charge of all the choices in your life, the world would be in total chaos. i have always been pro life. and yes i do believe abortions should be illegal.	Not to be glib, but are you stating that we should look to the government to assist us with our belief system. <br/> Ever read T. Hobbes...?
143	143	70668_1148434436	o7	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	What i dont undertsand is how people rationalize taking life it just doesnt make any sense... idc the situation in america how is killing leagal?
145	145	13264_13263	o7	Don't kid yourself: the vast majority of abortions in this country are for reasons of convenience. If I was allowed to kill someone anytime they were inconvenient to me, I would be leaving a trail of bodies behind me when I walked down the street.	Not to be glib, but are you stating that we should look to the government to assist us with our belief system. <br/> Ever read T. Hobbes...?
147	147	13275_59722	o6	The government has no place to tell a woman what she can do with her own body, ever. <br/> The government DOES have that right. <br/> 1) a woman cannot legally prostitute herself in many states <br/> 2) a woman cannot take illicit drugs into her own body <br/> 3) a woman cannot use her body to murder others <br/> 4) a woman cannot use her body to steal <br/> 5) a woman cannot display her naked body in public <br/> there are many others. Men can also not do these things. <br/> The government tells us what to do with our bodies ALL THE TIME. This is no different.	"Well ""The Champ"" It is not the Woman's body we are talking about, it is a new life. And if you are going to be irresponsible dont let a new life die for it!"
148	148	13277_59722	o7	"Well ""The Champ"" It is not the Woman's body we are talking about, it is a new life. And if you are going to be irresponsible dont let a new life die for it!"	the one whom bestows life, is the one whom bestows death
149	149	13258_70668	o7	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	That situation is very rare and can usually be countered with a contraceptive drug if the woman seeks medical attention after the assault
152	152	13303_43483	o6	There should be no argument in this really...whatever way yu see a fetus...its still a living form that has been created in a very intimate way... you shouldn't be changing what mothernature or God or fate or whatever has decided for you...and if you didn;t wannna get preggo in the first place...don't have sex or use protection. <br/> Yeh there are some women that get raped and it's very unfortunate but they should give the child up for adoption. It's not the child's fault that it was created. So why should the goring being have to pay the ultimate price of it's life?	for everyone who is talking about RAPE in this subject let me ask you one thing!!!! if you got in a huge fight with someone and ended up breaking your hand or arm... would you cut it off just because it would REMIND you of that expirience??? <br/> if your actualy SANE you would say no and if you say yes you need to see a Physiatrist!!!!
154	154	13279_70668	o7	There is only one situation in which I believe abortion is okay. <br/> If a mother is incapable of giving birth to the child, and attempting it might kill her, I believe abortion is sad, but necessary. <br/> Otherwise, no one has the right to kill a child, born or unborn.	In Nebraska, it's legal to have an abortion by killing the baby while it's coming out of the womb. How can you argue against that?
158	158	75146_13277	o6	what we are dealing with is indirect murder if a women decides to abort a child she just had killed a life that may have been a big contribution to society	the one whom bestows life, is the one whom bestows death
